フェンタニル | フェンタニル注射液 | analgesic
レミフェンタニル | アルチバ | analgesic
モルヒネ | モルヒネ塩酸塩注射液 | analgesic
ペンタゾシン | ソセゴン | analgesic
トラマドール | トラマール / ワントラム / トラムセット | analgesic
ドロペリドール | ドロレプタン | analgesic
アセトアミノフェン | アセリオ | analgesic
フルルビプロフェン | ロピオン | analgesic
ナロキソン | ナロキソン塩酸塩静注 | analgesic
アミオダロン塩酸塩 (AMD) | アンカロン注150 / アンカロン錠100 (後発: アミオダロン塩酸塩静注15 | antiarrhythmic
ソタロール塩酸塩 | ソタコール錠40mg, ソタコール錠80mg (後発: ソタロール塩酸塩錠40m | antiarrhythmic
ニフェカラント塩酸塩 (NIF) | シンビット静注用50mg | antiarrhythmic
プロカインアミド (PA) | アミサリン | antiarrhythmic
ジソピラミド (DP) | リスモダン (カプセル), リスモダンR (徐放錠), 旧リスモダンP静注 (販 | antiarrhythmic
シベンゾリン | シベノール | antiarrhythmic
ピルメノール | ピメノール | antiarrhythmic
リドカイン (抗不整脈) | 静注用キシロカイン2%, リドカイン静注用2%シリンジ, リドカイン点滴静注液1 | antiarrhythmic
メキシレチン | メキシチール | antiarrhythmic
アプリンジン | アスペノン | antiarrhythmic
プロパフェノン | プロノン | antiarrhythmic
フレカイニド | タンボコール | antiarrhythmic
ピルジカイニド | サンリズム | antiarrhythmic
ベラパミル塩酸塩 (VER) | ワソラン | antiarrhythmic
ジルチアゼム塩酸塩 (DIL) | ヘルベッサー | antiarrhythmic
プロプラノロール塩酸塩 (PL) | インデラル | antiarrhythmic
エスモロール塩酸塩 (ESM) | ブレビブロック | antiarrhythmic
ビソプロロール (BIS) | メインテート/ビソノテープ | antiarrhythmic
ジゴキシン (DIG) | ジゴシン | antiarrhythmic
アデノシン三リン酸二ナトリウム水和物 (ATP) | アデホス, アデホス-Lコーワ | antiarrhythmic
硫酸マグネシウム水和物 (MgSO4) | 硫酸Mg補正液 (電解質補正用注射液, 製剤名は複数存在) | antiarrhythmic
ヘパリン | ヘパリン | anticoagulant
